0 			1 			2
1 			2 			2
2 			4 			2.5
3 			10 			2.6
4 			26 			2.46153846153846
5 			64 			2.5
6 			160 			2.325
7 			372 			2.38709677419355
8 			888 			2.24774774774775
9 			1996 			2.44088176352705
10 			4872 			2.32430213464696
11 			11324 			2.43800777110562
12 			27608 			2.30092726745871
13 			63524 			2.43309615263522
14 			154560 			2.30225155279503
15 			355836 			2.43372789712115
16 			866008 			2.30222815493621
17 			1993748 			2.43466676831776
18 			4854112 			2.30340873881773
19 			11181004 			2.43418498016815
20 			27216632 			2.30250399829046
21 			62666404 			2.43424237331378
22 			152545216 			2.30284421374447
23 			351287868 			2.43426128225982
24 			855126456 			2.30275314976338
